id,name,type_1,type_2,offensive_score,defensive_score,power_score_final,role_kmeans
10075,diancie-mega,rock,fairy,0.8257894736842106,0.3795764035778966,0.647304245641685,Powerhouse Tank
377,regirock,rock,,0.8078947368421053,0.4088236408923543,0.648266298462205,Glass Cannon
645,landorus-incarnate,ground,flying,0.8042105263157896,0.3477027517113196,0.6216074164740015,Glass Cannon
10021,landorus-therian,ground,flying,0.8042105263157896,0.3477027517113196,0.6216074164740015,Glass Cannon
10087,camerupt-mega,fire,ground,0.8015789473684211,0.3445270260060141,0.6187581788234583,Glass Cannon
10072,steelix-mega,steel,ground,0.7973684210526317,0.5224583062594759,0.6874043751353693,Glass Cannon
719,diancie,rock,fairy,0.7942105263157896,0.3999875575463481,0.636521338808013,Glass Cannon
76,golem,rock,ground,0.7910526315789475,0.2675944703757354,0.5816693670976626,Glass Cannon
378,regice,ice,,0.7878947368421054,0.4028896314861226,0.6338926946997123,Glass Cannon
10074,glalie-mega,ice,,0.7878947368421054,0.2979513598811844,0.591917386057737,Glass Cannon
