id,name,type_1,type_2,total_base_stats,hp,attack,defense,special-attack,special-defense,speed,mean_move_power,max_move_power,offensive_type_score,defensive_type_score,offense_index,defense_index,offensive_score,defensive_score,power_score_final,cluster_kmeans,role_kmeans
1,bulbasaur,grass,poison,318,45,49,49,65,65,45,67.95454545454545,130.0,0.9642857142857142,0.9438202247191011,57.99285714285715,39.985955056179776,0.355157894736842,0.1389731841046644,0.268684010483971,0,Support / Utility
2,ivysaur,grass,poison,405,60,62,63,80,80,60,66.21951219512195,130.0,0.9642857142857142,0.9438202247191011,66.59285714285714,50.985955056179776,0.3826315789473683,0.2119204795175621,0.3143471391754458,0,Support / Utility
3,venusaur,grass,poison,525,80,82,83,100,100,80,73.07692307692308,150.0,0.9642857142857142,0.9438202247191011,82.59285714285714,65.98595505617978,0.4605263157894736,0.3119682268509392,0.4011030802140599,1,Bruiser / All-Rounder
4,charmander,fire,,309,39,52,43,60,50,65,72.3970588235294,150.0,1.0952380952380951,1.0,65.61904761904762,33.25,0.5023157894736843,0.1193840155945418,0.3491430799220273,0,Support / Utility
5,charmeleon,fire,,405,58,64,58,80,65,80,72.77272727272727,150.0,1.0952380952380951,1.0,75.01904761904761,45.5,0.5326315789473686,0.2026548624648039,0.4006408923543427,1,Bruiser / All-Rounder
6,charizard,fire,flying,534,78,84,78,109,85,100,74.01136363636364,150.0,1.0833333333333337,0.9767441860465119,88.81666666666666,60.49418604651163,0.5633684210526317,0.3045386010245252,0.4598364930413891,1,Bruiser / All-Rounder
7,squirtle,water,,314,44,48,65,50,64,43,73.515625,150.0,1.0714285714285714,1.0,58.41428571428571,43.5,0.4838947368421052,0.1573431882174571,0.353274117392246,0,Support / Utility
8,wartortle,water,,405,59,63,80,65,80,58,73.88888888888889,150.0,1.0714285714285714,1.0,67.41428571428571,55.0,0.5126315789473684,0.2358853151397011,0.4019330734243015,1,Bruiser / All-Rounder
9,blastoise,water,,530,79,83,100,85,105,78,77.0886075949367,150.0,1.0714285714285714,1.0,79.41428571428571,71.25,0.5521052631578948,0.3453584578730777,0.4694065410439679,1,Bruiser / All-Rounder
10,caterpie,bug,,195,45,30,35,20,20,45,51.25,60.0,0.9761904761904762,0.9333333333333333,31.195238095238096,25.233333333333334,0.1863157894736841,0.0375705725218395,0.1268177026929463,0,Support / Utility
11,metapod,bug,,205,50,20,55,25,25,30,57.5,60.0,0.9761904761904762,0.9333333333333333,27.195238095238096,32.733333333333334,0.1894736842105262,0.0662666955454479,0.1401908887444949,0,Support / Utility
12,butterfree,bug,flying,395,60,45,50,90,80,70,70.11363636363636,150.0,1.0238095238095235,0.84,71.20476190476191,47.71,0.4694736842105262,0.1797303443794671,0.3535763482781026,0,Support / Utility
13,weedle,bug,poison,195,40,35,30,20,20,50,43.333333333333336,60.0,0.9642857142857142,0.9545454545454545,33.19285714285714,22.738636363636363,0.1763157894736841,0.0310781794553723,0.1182207454663594,0,Support / Utility
14,kakuna,bug,poison,205,45,25,50,25,25,35,57.5,60.0,0.9642857142857142,0.9545454545454545,29.192857142857143,30.238636363636363,0.1794736842105262,0.0603307933132494,0.1318165278516155,0,Support / Utility
15,beedrill,bug,poison,395,65,90,40,45,80,75,64.5,150.0,0.9642857142857142,0.9545454545454545,72.19285714285715,46.48863636363637,0.4194736842105262,0.194588649654439,0.3295196703880914,0,Support / Utility
16,pidgey,normal,flying,251,40,45,40,35,35,56,68.18181818181819,140.0,0.988095238095238,1.0,55.397619047619045,29.0,0.3740000000000001,0.08009670781893,0.256438683127572,0,Support / Utility
17,pidgeotto,normal,flying,349,63,60,55,50,50,71,67.66666666666667,140.0,0.988095238095238,1.0,64.39761904761905,42.25,0.4049473684210527,0.1677076023391813,0.3100514619883041,0,Support / Utility
18,pidgeot,normal,flying,479,83,80,75,70,70,101,72.8125,150.0,0.988095238095238,1.0,80.39761904761905,57.25,0.4660000000000001,0.2749135802469136,0.3895654320987655,1,Bruiser / All-Rounder
19,rattata,normal,,253,30,56,35,25,35,72,69.64583333333333,140.0,0.9047619047619048,1.0,58.780952380952385,25.25,0.3046315789473684,0.0678215291314706,0.2099075590210092,0,Support / Utility
20,raticate,normal,,413,55,81,60,50,70,97,73.68627450980392,150.0,0.9047619047619048,1.0,75.78095238095239,46.5,0.3751578947368421,0.2095212259042668,0.3089032272038119,1,Bruiser / All-Rounder
21,spearow,normal,flying,262,40,60,30,31,31,70,62.83783783783784,140.0,0.988095238095238,1.0,60.397619047619045,25.5,0.3774736842105264,0.0724854884123889,0.2554784058912714,0,Support / Utility
22,fearow,normal,flying,442,65,90,65,61,61,100,68.8157894736842,150.0,0.988095238095238,1.0,80.39761904761905,48.0,0.4543157894736843,0.2269786658003032,0.3633809400043318,1,Bruiser / All-Rounder
23,ekans,poison,,288,35,60,44,40,54,55,66.37931034482759,130.0,0.9523809523809524,1.024390243902439,57.19047619047619,33.50609756097561,0.3356842105263157,0.1142531418881439,0.247111783071047,0,Support / Utility
24,arbok,poison,,448,60,95,69,65,79,80,69.46153846153847,150.0,0.9523809523809524,1.024390243902439,78.19047619047619,52.25609756097561,0.4262105263157894,0.2488076514683275,0.3552493763768046,1,Bruiser / All-Rounder
25,pikachu,electric,,320,35,55,40,50,50,90,70.86206896551724,150.0,0.9761904761904762,1.024390243902439,69.1952380952381,31.50609756097561,0.4057894736842105,0.1205603099890647,0.2916978082061522,0,Support / Utility
26,raichu,electric,,485,60,90,55,90,80,110,73.44262295081967,150.0,0.9761904761904762,1.024390243902439,88.1952380952381,49.00609756097561,0.4578947368421052,0.2527410101586395,0.3758332461687189,1,Bruiser / All-Rounder
27,sandshrew,ground,,300,50,75,85,20,30,40,69.44827586206897,150.0,1.1428571428571428,0.9545454545454545,57.228571428571435,41.48863636363637,0.5394736842105263,0.1378939246263807,0.3788417803768681,0,Support / Utility
28,sandslash,ground,,450,75,100,110,45,55,65,73.06349206349206,150.0,1.1428571428571428,0.9545454545454545,72.22857142857143,60.23863636363637,0.5868421052631578,0.2636570382184417,0.4575680784452713,1,Bruiser / All-Rounder
29,nidoran-f,poison,,275,55,47,52,40,40,41,65.78571428571429,130.0,0.9523809523809524,1.024390243902439,51.79047619047619,37.00609756097561,0.331578947368421,0.1213208608694273,0.2474757127688235,0,Support / Utility
30,nidorina,poison,,365,70,62,67,55,55,56,66.26190476190476,130.0,0.9523809523809524,1.024390243902439,60.79047619047619,48.25609756097561,0.36,0.1995272508280638,0.2958109003312255,0,Support / Utility
31,nidoqueen,poison,ground,505,90,92,87,75,85,76,74.23863636363636,150.0,1.0476190476190474,0.9882352941176469,78.80952380952381,65.74705882352941,0.5242105263157893,0.3128979857050032,0.4396855100714749,1,Bruiser / All-Rounder
32,nidoran-m,poison,,273,46,57,40,40,40,50,69.77272727272727,150.0,0.9523809523809524,1.024390243902439,59.590476190476195,31.75609756097561,0.3709473684210526,0.1016666508185549,0.2632350813800535,0,Support / Utility
33,nidorino,poison,,365,61,72,57,55,55,65,66.9047619047619,130.0,0.9523809523809524,1.024390243902439,64.5904761904762,43.50609756097561,0.36,0.1825067750677507,0.2890027100271002,0,Support / Utility
34,nidoking,poison,ground,505,81,102,77,85,75,85,75.22222222222223,150.0,1.0476190476190474,0.9882352941176469,84.60952380952381,58.497058823529414,0.5242105263157893,0.2878362573099415,0.4296608187134502,1,Bruiser / All-Rounder
35,clefairy,fairy,,323,70,45,48,60,65,35,74.50617283950618,150.0,1.0714285714285714,1.024390243902439,58.21428571428571,46.00609756097561,0.4867368421052631,0.1737807096784417,0.3615543891345346,0,Support / Utility
36,clefable,fairy,,483,95,70,73,95,90,60,77.44047619047619,150.0,1.0714285714285714,1.024390243902439,75.21428571428571,64.7560975609756,0.5372631578947369,0.3083352192586253,0.4456919824402922,1,Bruiser / All-Rounder
37,vulpix,fire,,299,38,41,40,50,65,65,72.27272727272727,130.0,1.0952380952380951,1.0,57.41904761904762,36.0,0.4591578947368422,0.1247928308425384,0.3254118691791207,0,Support / Utility
38,ninetales,fire,,505,73,76,75,81,100,100,76.4,150.0,1.0952380952380951,1.0,81.61904761904762,62.25,0.5642105263157896,0.3033506606021225,0.4598665800303227,1,Bruiser / All-Rounder
39,jigglypuff,normal,fairy,270,115,45,20,45,25,20,77.59493670886076,200.0,0.988095238095238,1.05,62.19761904761905,40.2625,0.5000000000000001,0.1344444444444444,0.3537777777777778,0,Support / Utility
40,wigglytuff,normal,fairy,435,140,70,45,85,50,45,80.0,200.0,0.988095238095238,1.05,80.19761904761904,59.0125,0.5521052631578948,0.2727838693957115,0.4403767056530214,1,Bruiser / All-Rounder
41,zubat,poison,flying,245,40,45,35,30,40,55,64.45652173913044,120.0,1.011904761904762,1.0120481927710845,50.20238095238095,29.003012048192772,0.3521052631578946,0.0787820286995936,0.2427759693745742,0,Support / Utility
42,golbat,poison,flying,455,75,80,70,65,75,90,68.80434782608695,150.0,1.011904761904762,1.0120481927710845,77.20238095238095,55.25301204819277,0.4784210526315788,0.2601303459451842,0.391104769957021,1,Bruiser / All-Rounder
43,oddish,grass,poison,320,45,50,55,75,65,30,67.41935483870968,130.0,0.9642857142857142,0.9438202247191011,57.19285714285714,41.485955056179776,0.3557894736842104,0.1447674325222126,0.2713806572194113,0,Support / Utility
44,gloom,grass,poison,395,60,65,70,85,75,40,68.97058823529412,130.0,0.9642857142857142,0.9438202247191011,64.19285714285715,51.485955056179776,0.3794736842105262,0.2093606675865694,0.3114284775609435,0,Support / Utility
45,vileplume,grass,poison,490,75,80,85,110,90,50,75.0,150.0,0.9642857142857142,0.9438202247191011,78.19285714285715,62.735955056179776,0.4494736842105262,0.286501741244497,0.3842849070241145,1,Bruiser / All-Rounder
46,paras,bug,grass,285,35,70,55,45,55,25,63.73170731707317,130.0,0.9761904761904762,0.75,54.195238095238096,36.4375,0.3547368421052632,0.0889469623131903,0.248420890188434,0,Support / Utility
47,parasect,bug,grass,405,60,95,80,60,80,30,69.7,150.0,0.9761904761904762,0.75,67.1952380952381,55.1875,0.4326315789473684,0.1886630929174788,0.3350441845354125,1,Bruiser / All-Rounder
48,venonat,bug,poison,305,60,55,50,40,55,45,67.28571428571429,120.0,0.9642857142857142,0.9545454545454545,52.19285714285714,41.48863636363637,0.3310526315789472,0.1399991877842754,0.2546312540610785,0,Support / Utility
49,venomoth,bug,poison,450,70,65,60,90,75,90,70.40816326530613,150.0,0.9642857142857142,0.9545454545454545,79.19285714285715,51.48863636363637,0.4368421052631578,0.2344412694193395,0.3558817709256305,1,Bruiser / All-Rounder
50,diglett,ground,,265,10,55,25,35,45,95,63.51111111111111,120.0,1.1428571428571428,0.9545454545454545,61.228571428571435,20.238636363636363,0.4684210526315789,0.0522045011518695,0.3019344320396951,0,Support / Utility
51,dugtrio,ground,,425,35,100,50,50,70,120,69.54166666666667,150.0,1.1428571428571428,0.9545454545454545,84.22857142857143,38.98863636363637,0.5789473684210527,0.1821781410597199,0.4202396774765196,1,Bruiser / All-Rounder
52,meowth,normal,,290,40,45,35,40,40,90,69.24193548387096,140.0,0.9047619047619048,1.0,63.180952380952384,29.0,0.3163157894736842,0.0965177604505089,0.2283965778644141,0,Support / Utility
53,persian,normal,,440,65,70,60,65,65,115,71.73846153846154,150.0,0.9047619047619048,1.0,80.18095238095239,47.75,0.3836842105263157,0.2252620749404375,0.3203153562919644,1,Bruiser / All-Rounder
54,psyduck,water,,320,50,52,48,65,50,55,72.25,150.0,1.0714285714285714,1.0,64.61428571428571,37.25,0.4857894736842105,0.1380073640892353,0.3466766298462205,0,Support / Utility
55,golduck,water,,500,80,82,78,95,80,85,73.91549295774648,150.0,1.0714285714285714,1.0,82.61428571428571,59.75,0.5426315789473684,0.2925005414771496,0.4425791639592809,1,Bruiser / All-Rounder
56,mankey,fighting,,305,40,80,35,35,45,70,74.76388888888889,150.0,1.0714285714285714,0.9333333333333333,67.21428571428571,30.233333333333334,0.4810526315789474,0.1002100931340697,0.3287156162009963,0,Support / Utility
57,primeape,fighting,,455,65,105,60,60,70,95,77.64788732394366,150.0,1.0714285714285714,0.9333333333333333,82.21428571428571,48.983333333333334,0.5284210526315789,0.2245819796404591,0.4068854234351309,1,Bruiser / All-Rounder
58,growlithe,fire,,350,55,70,45,70,50,60,76.73469387755102,130.0,1.0952380952380951,1.0,66.21904761904761,37.75,0.4752631578947369,0.1523879142300194,0.3461130604288499,0,Support / Utility
59,arcanine,fire,,555,90,110,80,100,80,95,80.625,150.0,1.0952380952380951,1.0,91.21904761904761,62.75,0.5800000000000001,0.3261522633744856,0.4784609053497942,3,Powerhouse Tank
60,poliwag,water,,300,40,50,40,40,40,90,69.76744186046511,150.0,1.0714285714285714,1.0,66.21428571428571,30.25,0.4794736842105263,0.1051007147498375,0.3297244964262508,0,Support / Utility
61,poliwhirl,water,,385,65,65,65,50,50,90,71.63461538461539,150.0,1.0714285714285714,1.0,71.21428571428571,45.25,0.5063157894736842,0.1933593242365172,0.3811332033788174,0,Support / Utility
62,poliwrath,water,fighting,510,90,95,95,70,90,70,75.85714285714286,150.0,1.0714285714285714,0.9333333333333333,77.21428571428571,68.98333333333333,0.5457894736842105,0.3130347989314851,0.4526876037831203,1,Bruiser / All-Rounder
63,abra,psychic,,310,25,20,15,105,55,90,80.78947368421052,150.0,1.0,0.9130434782608696,73.2,23.97826086956522,0.4226315789473684,0.0802250896968669,0.2856689832471678,0,Support / Utility
