id,name,height,weight,base_experience,total_base_stats,attack,defense,hp,special-attack,special-defense,speed,type_1,type_2,offensive_effectiveness,defensive_multiplier_mean,n_moves,max_move_power,mean_move_power,max_power_physical,max_power_special,defensive_multiplier_mean_clipped,defensive_raw,offensive_raw,total_base_stats_norm,max_move_power_norm,offensive_effectiveness_norm,defensive_survivability_norm,offensive_score,defensive_score,power_score_final,power_per_exp
1,bulbasaur,7,69,64.0,318,49,49,45,65,65,45,grass,poison,0.9642857142857142,1.0595238095238095,44.0,130.0,67.95454545454545,130.0,130.0,1.0595238095238095,150.06741573033707,431.99999999999994,0.1505263157894736,0.52,0.2499999999999996,0.1312710963147917,0.355157894736842,0.13897318410466447,0.268684010483971,0.004198187663812047
2,ivysaur,10,130,142.0,405,62,63,60,80,80,60,grass,poison,0.9642857142857142,1.0595238095238095,41.0,130.0,66.21951219512195,120.0,130.0,1.0595238095238095,191.59550561797752,515.8928571428571,0.2421052631578947,0.52,0.2499999999999996,0.191797290424007,0.3826315789473683,0.2119204795175621,0.3143471391754458,0.002213712247714407
3,venusaur,20,1000,236.0,525,82,83,80,100,100,80,grass,poison,0.9642857142857142,1.0595238095238095,52.0,150.0,73.07692307692308,150.0,150.0,1.0595238095238095,248.2247191011236,650.8928571428571,0.3684210526315789,0.6,0.2499999999999996,0.2743330096638461,0.4605263157894736,0.3119682268509392,0.4011030802140599,0.0016995893229409316
4,charmander,6,85,62.0,309,52,43,39,60,50,65,fire,,1.0952380952380951,1.0,68.0,150.0,72.3970588235294,150.0,130.0,1.0,132.0,502.7142857142858,0.1410526315789473,0.6,0.8000000000000006,0.1049382716049382,0.5023157894736843,0.11938401559454184,0.3491430799220273,0.005631339998742376
5,charmeleon,11,190,142.0,405,64,58,58,80,65,80,fire,,1.0952380952380951,1.0,66.0,150.0,72.77272727272727,150.0,130.0,1.0,181.0,607.8571428571429,0.2421052631578947,0.6,0.8000000000000006,0.1763545953360768,0.5326315789473686,0.20265486246480396,0.40064089235434275,0.0028214147348897376
6,charizard,17,905,240.0,534,84,78,78,109,85,100,fire,flying,1.0833333333333337,1.0238095238095235,88.0,150.0,74.01136363636364,150.0,150.0,1.0238095238095235,235.39534883720933,741.0000000000001,0.3778947368421053,0.6,0.7500000000000008,0.2556345104794718,0.5633684210526317,0.3045386010245252,0.4598364930413891,0.0019159853876724547
7,squirtle,5,90,63.0,314,48,65,44,50,64,43,water,,1.0714285714285714,1.0,64.0,150.0,73.515625,150.0,150.0,1.0,173.0,497.1428571428571,0.1463157894736842,0.6,0.7000000000000001,0.1646947873799725,0.48389473684210527,0.15734318821745719,0.35327411739224607,0.005607525672892795
8,wartortle,10,225,142.0,405,63,80,59,65,80,58,water,,1.0714285714285714,1.0,63.0,150.0,73.88888888888889,150.0,150.0,1.0,219.0,594.6428571428571,0.2421052631578947,0.6,0.7000000000000001,0.231738683127572,0.5126315789473684,0.2358853151397011,0.4019330734243015,0.002830514601579588
9,blastoise,16,855,239.0,530,83,100,79,85,105,78,water,,1.0714285714285714,1.0,79.0,150.0,77.0886075949367,150.0,150.0,1.0,284.0,728.5714285714286,0.3736842105263158,0.6,0.7000000000000001,0.326474622770919,0.5521052631578948,0.34535845787307773,0.46940654104396795,0.0019640441047864767
10,caterpie,3,29,39.0,195,30,35,45,20,20,45,bug,,0.9761904761904762,1.0714285714285714,4.0,60.0,51.25,60.0,55.0,1.0714285714285714,93.33333333333334,248.92857142857144,0.0210526315789473,0.24,0.2999999999999999,0.0485825331504344,0.18631578947368416,0.037570572521839554,0.12681770269294632,0.003251735966485803
